央视,#genre#
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221225530/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221226316/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227375/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227431/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227462/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227467/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227494/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227529/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227576/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227634/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227641/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227644/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227675/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227725/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227736/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227739/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228075/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228146/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228149/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228213/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228581/index.m3u8 
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221226993/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227207/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227427/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227543/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227696/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227708/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228094/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228118/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228300/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221225588/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227295/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227424/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227481/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227546/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227623/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227650/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228126/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228188/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228237/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228392/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228499/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221225534/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227378/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227489/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227549/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227658/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227683/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228091/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228156/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228307/index.m3u8

CCTV4欧洲,http://hms304nc1972679586.live.aikan.miguvideo.com/wh7f454c46tw1798072077_1881739463/migu/kailu/20200324/cctv4ouhd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426160611&ContentId=265667313&timezone=UTC&mtv_session=a1f0d3ea23dedcfb57026533e0f9fba7&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=205e99763af1a2e155df364630a7b05a
CCTV4欧洲,http://120.234.220.107:9000/udp/239.21.0.107:3768
CCTV4欧洲,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226268/1/index.m3u8?fmt=ts2hls
CCTV4欧洲,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226266/1/index.m3u8?fmt=ts2hls

CCTV4美洲,http://hms344nc1972679590.live.aikan.miguvideo.com/wh7f454c46tw2087320283_-876815993/migu/kailu/20200324/cctv4meihd/57/01.m3u8?msisdn=guest&Channel_ID=0119_04102000-99000_400300000040002&client_ip=125.65.42.193&timestamp=20230426161100&ContentId=265667335&timezone=UTC&mtv_session=9de016f966bff8e72afcd5fccab460fe&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=79b8d51a3105d0beb31ae1f6db95827e
CCTV4美洲,http://120.234.220.107:9000/udp/239.21.0.108:3772
CCTV4美洲,http://[2409:8087:6a01:1020::11]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
CCTV4美洲,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226269/1/index.m3u8?fmt=ts2hls
CCTV4美洲,http://[2409:8087:6a01:1020::c]/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226300/1/index.m3u8?fmt=ts2hls

CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227166/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227298/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227401/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227452/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227466/index.m3u8
