▶️央视频道,#genre#
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221225530/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227375/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227462/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227467/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227529/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227576/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227641/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227644/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227675/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227725/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227736/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221227739/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228146/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228149/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228213/index.m3u8
CCTV1,http://ott.mobaibox.com/TVOD/1/224/3221228581/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221226993/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227427/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227543/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227696/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221227708/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228094/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228118/index.m3u8
CCTV2,http://ott.mobaibox.com/TVOD/1/224/3221228300/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221225588/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227295/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227424/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227623/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221227650/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228126/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228188/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228237/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228392/index.m3u8
CCTV3,http://ott.mobaibox.com/TVOD/1/224/3221228499/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221225534/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227378/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227489/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227549/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227658/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221227683/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228091/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228156/index.m3u8
CCTV4,http://ott.mobaibox.com/TVOD/1/224/3221228307/index.m3u8

CCTV-4美洲,http://104.233.187.235:2082/status?user=ningjingzhiyuan&pro=guangdongdianxin&id=239.253.43.121:5146
CCTV-4欧洲,http://104.233.187.235:2082/status?user=ningjingzhiyuan&pro=guangdongdianxin&id=239.253.43.120:5146

CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227166/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227298/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227401/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227537/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227617/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227661/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221227686/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221228082/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221228395/index.m3u8
CCTV5,http://ott.mobaibox.com/TVOD/1/224/3221228502/index.m3u8
CCTV5+,http://ott.mobaibox.com/TVOD/1/224/3221228076/index.m3u8
CCTV5+,http://ott.mobaibox.com/TVOD/1/224/3221227381/index.m3u8
